task,group,random6_unsteered,swap1_a0.0,swap1_a2.0,swap1_a4.0,swap1_a8.0,swap1_a16.0,swap1_a32.0,swap1_a64.0,swap1_best,fullmean_a0.5,fullmean_a1.0,fullmean_a2.0,fullmean_a4.0,fullmean_best
initials_two_words,heldout,0.0,0.0,0.0,0.0,0.1,0.4733,0.48,0.2133,0.48,0.0,0.1,0.48,0.58,0.58
iso_date_to_month,train,0.0,0.0,0.0,0.0,0.0667,0.4067,0.3733,0.3133,0.4067,0.0067,0.32,0.4933,0.5533,0.5533
iso_date_year_plus_one,train,0.0,0.0,0.0,0.0,0.0067,0.2933,0.2667,0.18,0.2933,0.0,0.0867,0.2733,0.3533,0.3533
landmark-country,train,0.0133,0.0,0.0,0.0,0.0467,0.36,0.2267,0.12,0.36,0.02,0.1533,0.2867,0.2733,0.2867
language_identification,train,0.0067,0.0,0.0,0.0,0.0533,0.4867,0.3267,0.0733,0.4867,0.0067,0.1267,0.4267,0.4,0.4267
larger_of_pair,train,0.0,0.0,0.0,0.0,0.02,0.1933,0.1467,0.0467,0.1933,0.04,0.18,0.2133,0.2733,0.2733
larger_than_1000,train,0.0,0.0067,0.0067,0.0133,0.1,0.2733,0.24,0.1733,0.2733,0.0267,0.2267,0.34,0.2867,0.34
lowercase_first_letter,train,0.0,0.0,0.0,0.0,0.0267,0.18,0.1733,0.0267,0.18,0.0,0.0933,0.36,0.3667,0.3667
lowercase_word,train,0.0,0.0067,0.02,0.0333,0.32,0.84,0.7867,0.78,0.84,0.2133,0.8267,0.9333,0.9533,0.9533
national_parks,train,0.0,0.0,0.0,0.0067,0.0467,0.4333,0.4533,0.26,0.4533,0.0067,0.1533,0.3333,0.3333,0.3333
natural_manmade,train,0.0,0.0,0.0,0.0,0.0067,0.18,0.14,0.0133,0.18,0.0,0.0467,0.14,0.08,0.14
next_item,train,0.0,0.0,0.0,0.0,0.0533,0.36,0.4,0.3333,0.4,0.0,0.0467,0.26,0.4667,0.4667
next_month_of_date,train,0.0,0.0,0.0,0.0,0.02,0.2333,0.2267,0.18,0.2333,0.0067,0.08,0.1533,0.22,0.22
next_number_digits,train,0.0,0.0,0.0,0.0,0.0133,0.64,0.5,0.3533,0.64,0.0067,0.4067,0.7467,0.76,0.76
number_word_to_digits,train,0.0,0.0,0.0,0.0,0.1467,0.46,0.4867,0.4133,0.4867,0.0467,0.3133,0.5133,0.58,0.58
park-country,train,0.0,0.0,0.0,0.0,0.0333,0.32,0.3133,0.1133,0.32,0.0133,0.0867,0.2467,0.28,0.28
past_to_base,heldout,0.0,0.0,0.0067,0.0933,0.28,0.52,0.6733,0.66,0.6733,0.0667,0.3733,0.72,0.72,0.72
person-instrument,train,0.0,0.0,0.0,0.0067,0.0333,0.12,0.1267,0.12,0.1267,0.0867,0.2733,0.2933,0.2,0.2933
person-sport,train,0.0067,0.0,0.0,0.0067,0.0733,0.5,0.62,0.3133,0.62,0.0867,0.34,0.54,0.58,0.58
person_place_thing,heldout,0.0,0.0,0.0,0.0067,0.0533,0.36,0.3467,0.22,0.36,0.0,0.0867,0.3133,0.1467,0.3133
plural_to_singular,train,0.0,0.0,0.0067,0.04,0.16,0.6933,0.6667,0.5733,0.6933,0.06,0.6,0.82,0.88,0.88
pos_label,heldout,0.0,0.0,0.0,0.0067,0.1333,0.4,0.48,0.2067,0.48,0.0133,0.2,0.2467,0.2733,0.2733
present-past,train,0.0,0.0,0.0,0.0133,0.0733,0.48,0.5133,0.5267,0.5267,0.04,0.52,0.86,0.88,0.88
prev_number_digits,train,0.0,0.0067,0.0,0.0067,0.04,0.52,0.5333,0.5133,0.5333,0.0,0.28,0.6333,0.6667,0.6667
product-company,train,0.0067,0.0,0.0,0.0,0.02,0.3067,0.2933,0.1333,0.3067,0.0067,0.1533,0.32,0.3533,0.3533
sentiment,train,0.0,0.0,0.0,0.0,0.1333,0.4733,0.5867,0.4667,0.5867,0.0067,0.44,0.56,0.5333,0.56
singular-plural,train,0.0,0.0,0.0,0.0267,0.14,0.44,0.7533,0.6933,0.7533,0.0333,0.6267,0.8733,0.8867,0.8867
singular_or_plural,train,0.0,0.0,0.0,0.0,0.0667,0.4,0.4933,0.2533,0.4933,0.0067,0.2533,0.32,0.1867,0.32
smaller_of_pair,heldout,0.0,0.0067,0.0,0.0,0.0,0.2733,0.2667,0.12,0.2733,0.0333,0.3333,0.36,0.38,0.38
spanish-english,heldout,0.02,0.0067,0.04,0.1067,0.36,0.5267,0.54,0.4467,0.54,0.1933,0.4333,0.6133,0.7,0.7
spanish_noun_gender,train,0.0,0.0,0.0,0.0,0.0467,0.4133,0.4933,0.2067,0.4933,0.0067,0.26,0.4733,0.4133,0.4733
starts_with_vowel,train,0.0,0.0,0.0,0.0,0.0067,0.3133,0.1867,0.0533,0.3133,0.0,0.1133,0.18,0.1333,0.18
third_person_to_base,train,0.0067,0.0067,0.0,0.0333,0.18,0.62,0.7267,0.6933,0.7267,0.0733,0.5733,0.8533,0.86,0.86
titlecase_phrase,train,0.0,0.0,0.0,0.0,0.0,0.16,0.0467,0.04,0.16,0.0,0.1467,0.66,0.8,0.8
uppercase_word,heldout,0.0,0.0067,0.0,0.0533,0.2733,0.7067,0.7267,0.54,0.7267,0.0267,0.7,0.9467,0.9333,0.9467
us-city-state,train,0.0,0.0067,0.0,0.0067,0.18,0.4933,0.4667,0.1933,0.4933,0.0267,0.1667,0.3067,0.2733,0.3067
verb_tense_label,train,0.0,0.0,0.0,0.0,0.02,0.16,0.2667,0.1533,0.2667,0.0,0.0867,0.2,0.1067,0.2
verb_to_third_person,train,0.0,0.0,0.0,0.0333,0.1267,0.4867,0.6333,0.7133,0.7133,0.0133,0.4533,0.7533,0.8667,0.8667
word_polarity,heldout,0.0,0.0,0.0,0.0133,0.0667,0.46,0.42,0.26,0.46,0.0,0.2067,0.5467,0.3867,0.5467
