task,family,cf_task,cf_family,cos_own_cf
last_two_letters,string_manipulation,double_no_carry,numerical,0.5583
last_vowel,string_manipulation,language_identification,world_knowledge,0.598
lowercase_first_letter,string_manipulation,count_digits,numerical,0.607
lowercase_last_letter,string_manipulation,city-country,world_knowledge,0.5595
lowercase_word,string_manipulation,round_up_to_ten,numerical,0.6285
national_parks,world_knowledge,next_number_digits,numerical,0.5303
nato_first_letter,string_manipulation,sentiment,text_classification,0.4216
natural_manmade,world_knowledge,plural_to_singular,morphology_linguistic,0.6181
next_in_group,world_knowledge,first_two_letters,string_manipulation,0.4925
next_in_period,world_knowledge,word_polarity,text_classification,0.4625
next_item,numerical,person-sport,world_knowledge,0.5597
next_month_of_date,numerical,uppercase_word,string_manipulation,0.5084
next_number_digits,numerical,person_place_thing,world_knowledge,0.5528
number_word_to_digits,numerical,past_to_base,morphology_linguistic,0.6319
park-country,world_knowledge,french_noun_gender,morphology_linguistic,0.5442
past_to_base,morphology_linguistic,capitalize_first_letter,string_manipulation,0.6987
person-instrument,world_knowledge,article_choice,morphology_linguistic,0.614
person-sport,world_knowledge,first_vowel,string_manipulation,0.542
person_place_thing,world_knowledge,gerund_to_base,morphology_linguistic,0.6814
plural_to_singular,morphology_linguistic,english-spanish,translation,0.7925
pos_label,morphology_linguistic,last_digit,numerical,0.5497
present-past,morphology_linguistic,round_up_to_ten,numerical,0.5844
prev_item,numerical,park-country,world_knowledge,0.6156
prev_number_digits,numerical,person-instrument,world_knowledge,0.4978
product-company,world_knowledge,gerund_to_past,morphology_linguistic,0.5935
remove_first_letter,string_manipulation,third_person_to_base,morphology_linguistic,0.742
remove_last_letter,string_manipulation,count_words,numerical,0.5864
round_up_to_ten,numerical,french_noun_gender,morphology_linguistic,0.4311
second_digit,numerical,ag_news,text_classification,0.5309
sentiment,text_classification,next_number_digits,numerical,0.4967
singular-plural,morphology_linguistic,compound_first,string_manipulation,0.7411
singular_or_plural,morphology_linguistic,capitalize,string_manipulation,0.6401
smaller_of_pair,numerical,ends_with_ing,string_manipulation,0.5673
spanish-english,translation,plural_to_singular,morphology_linguistic,0.8521
spanish_noun_gender,morphology_linguistic,english-german,translation,0.5724
starts_with_vowel,string_manipulation,park-country,world_knowledge,0.5161
strip_prefix,morphology_linguistic,person-sport,world_knowledge,0.6439
synonym,morphology_linguistic,person-instrument,world_knowledge,0.6754
third_person_to_base,morphology_linguistic,iso_date_to_month,numerical,0.6534
times_five,numerical,lowercase_last_letter,string_manipulation,0.5031
titlecase_phrase,string_manipulation,us-city-state,world_knowledge,0.631
uppercase_word,string_manipulation,english-german,translation,0.6643
us-city-state,world_knowledge,spanish-english,translation,0.7212
verb_to_third_person,morphology_linguistic,next_item,numerical,0.6618
word_polarity,text_classification,compound_first,string_manipulation,0.579
