task,group,baseline,a0.5,a1.0,a2.0,a4.0,best,ref_fullmeanL6_a0.5,ref_fullmeanL6_a1.0,ref_fullmeanL6_a2.0,ref_fullmeanL6_a4.0,ref_fullmeanL6_best,ref_real6
ends_with_ing,heldout,0.0,0.3867,0.4267,0.3133,0.2467,0.4267,0.0,0.0067,0.1733,0.34,0.34,0.5133
english-french,heldout,0.0,0.0333,0.4733,0.5533,0.5533,0.5533,0.0,0.0,0.4533,0.48,0.48,0.5533
english-italian,train,0.0,0.04,0.48,0.5133,0.5333,0.5333,0.0,0.0067,0.38,0.5067,0.5067,0.5467
english-portuguese,train,0.0,0.0733,0.6067,0.5867,0.5667,0.6067,0.0,0.0267,0.46,0.5667,0.5667,0.54
english-spanish,train,0.0,0.04,0.5,0.56,0.6533,0.6533,0.0,0.02,0.5,0.5467,0.5467,0.5667
first_digit,heldout,0.0067,0.1867,0.4867,0.5,0.5333,0.5333,0.0,0.0,0.12,0.26,0.26,0.6067
first_three_letters,train,0.0,0.06,0.28,0.4267,0.4667,0.4667,0.0,0.08,0.3467,0.3733,0.3733,0.3067
french-english,heldout,0.0,0.0267,0.4333,0.6733,0.6733,0.6733,0.0,0.02,0.4333,0.6867,0.6867,0.62
french_noun_gender,train,0.0,0.58,0.5267,0.38,0.26,0.58,0.0,0.0,0.24,0.3267,0.3267,0.6533
german-english,train,0.0,0.02,0.52,0.68,0.68,0.68,0.0,0.0267,0.4867,0.7067,0.7067,0.6533
german_noun_gender,train,0.0,0.22,0.4,0.3067,0.24,0.4,0.0,0.0,0.0133,0.0933,0.0933,0.38
gerund_to_base,heldout,0.0,0.0733,0.6733,0.8467,0.8467,0.8467,0.0,0.1667,0.7867,0.86,0.86,0.72
gerund_to_past,train,0.0,0.2867,0.7267,0.8067,0.7667,0.8067,0.0,0.0667,0.58,0.5867,0.5867,0.6067
hypernym_category,train,0.0,0.16,0.3667,0.38,0.36,0.38,0.0067,0.0067,0.1333,0.3267,0.3267,0.32
initials_two_words,heldout,0.0,0.38,0.7733,0.7733,0.7267,0.7733,0.0,0.0667,0.5667,0.5933,0.5933,0.6933
iso_date_to_month,train,0.0,0.7733,0.8467,0.8067,0.74,0.8467,0.0,0.0,0.22,0.1733,0.22,0.9733
iso_date_year_plus_one,train,0.0,0.3867,0.6667,0.6867,0.7067,0.7067,0.0,0.0,0.0733,0.0867,0.0867,0.8467
landmark-country,train,0.0,0.4667,0.3867,0.4333,0.3733,0.4667,0.0133,0.02,0.3267,0.4,0.4,0.5
language_identification,train,0.0,0.44,0.5533,0.44,0.4,0.5533,0.0,0.0,0.14,0.1467,0.1467,0.7667
larger_of_pair,train,0.0,0.4133,0.3933,0.2533,0.1667,0.4133,0.0,0.12,0.3067,0.3133,0.3133,0.56
larger_than_1000,train,0.0,0.3667,0.38,0.2667,0.1867,0.38,0.0,0.02,0.3,0.28,0.3,0.5267
lowercase_first_letter,train,0.0,0.38,0.56,0.54,0.5,0.56,0.0067,0.1067,0.62,0.7467,0.7467,0.6533
lowercase_word,train,0.0,0.2,0.9533,0.9733,0.98,0.98,0.0067,0.54,0.9667,0.9867,0.9867,0.9733
national_parks,train,0.0,0.5133,0.5267,0.4933,0.4533,0.5267,0.0,0.0467,0.3067,0.2467,0.3067,0.5267
natural_manmade,train,0.0,0.3,0.28,0.1667,0.0667,0.3,0.0,0.0,0.02,0.0867,0.0867,0.6467
next_item,train,0.0,0.0267,0.5933,0.56,0.5733,0.5933,0.0,0.02,0.12,0.3667,0.3667,0.5
next_month_of_date,train,0.0,0.2867,0.4467,0.2933,0.1667,0.4467,0.0,0.02,0.1133,0.1333,0.1333,0.6733
next_number_digits,train,0.0,0.8467,0.84,0.8867,0.88,0.8867,0.0,0.0533,0.74,0.8933,0.8933,0.8867
number_word_to_digits,train,0.0,0.3333,0.5067,0.56,0.58,0.58,0.0,0.1,0.36,0.3733,0.3733,0.7067
park-country,train,0.0,0.4133,0.42,0.3667,0.36,0.42,0.0,0.0,0.3067,0.3133,0.3133,0.52
past_to_base,heldout,0.0,0.0867,0.78,0.84,0.8333,0.84,0.0067,0.14,0.7467,0.72,0.7467,0.76
person-instrument,train,0.0,0.1867,0.2333,0.2267,0.14,0.2333,0.0,0.02,0.1933,0.2,0.2,0.26
person-sport,train,0.0,0.6267,0.6133,0.5733,0.46,0.6267,0.0,0.04,0.28,0.3133,0.3133,0.7
person_place_thing,heldout,0.0,0.4,0.5667,0.5467,0.3733,0.5667,0.0,0.0067,0.06,0.1667,0.1667,0.62
plural_to_singular,train,0.0,0.08,0.8667,0.86,0.94,0.94,0.0133,0.3667,0.86,0.8733,0.8733,0.8267
pos_label,heldout,0.0,0.5,0.4867,0.48,0.3133,0.5,0.0,0.0,0.0733,0.1533,0.1533,0.56
present-past,train,0.0,0.82,0.9333,0.8667,0.8867,0.9333,0.0,0.0733,0.6733,0.76,0.76,0.78
prev_number_digits,train,0.0,0.8533,0.88,0.82,0.8333,0.88,0.0067,0.02,0.34,0.44,0.44,0.8133
product-company,train,0.0,0.3667,0.42,0.4067,0.38,0.42,0.0,0.0267,0.2,0.2533,0.2533,0.4733
sentiment,train,0.0,0.4333,0.64,0.7067,0.62,0.7067,0.0,0.0,0.4267,0.48,0.48,0.6667
singular-plural,train,0.0,0.64,0.9267,0.9133,0.9067,0.9267,0.0,0.28,0.9067,0.9333,0.9333,0.9
singular_or_plural,train,0.0,0.48,0.4733,0.38,0.2267,0.48,0.0,0.0,0.12,0.18,0.18,0.6133
smaller_of_pair,heldout,0.0,0.4733,0.4667,0.3733,0.3,0.4733,0.0067,0.1,0.3667,0.4333,0.4333,0.4933
spanish-english,heldout,0.0,0.0333,0.5267,0.7,0.76,0.76,0.0,0.02,0.5067,0.7267,0.7267,0.7133
spanish_noun_gender,train,0.0,0.4133,0.4,0.3133,0.12,0.4133,0.0,0.0,0.1533,0.22,0.22,0.62
starts_with_vowel,train,0.0,0.12,0.18,0.08,0.02,0.18,0.0,0.0,0.02,0.02,0.02,0.46
third_person_to_base,train,0.0,0.1533,0.8333,0.9133,0.92,0.92,0.0067,0.3267,0.8933,0.86,0.8933,0.8533
titlecase_phrase,train,0.0,0.1267,0.5333,0.3267,0.3733,0.5333,0.0,0.0667,0.6733,0.7,0.7,0.92
uppercase_word,heldout,0.0,0.0933,0.9467,0.94,0.9267,0.9467,0.0267,0.2933,0.8933,0.9333,0.9333,0.9267
us-city-state,train,0.0067,0.5067,0.4,0.3333,0.26,0.5067,0.0,0.02,0.3,0.2933,0.3,0.6533
verb_tense_label,train,0.0,0.0867,0.1267,0.0667,0.0133,0.1267,0.0,0.0,0.0,0.06,0.06,0.32
verb_to_third_person,train,0.0,0.3867,0.9,0.92,0.84,0.92,0.0,0.1933,0.7,0.74,0.74,0.7667
word_polarity,heldout,0.0,0.4267,0.58,0.5733,0.4667,0.58,0.0,0.0,0.2333,0.4,0.4,0.68
